chart_position,release_date,track_name,track_id,popularity,duration_ms,track_number,artists,album_name,album_url,track_url,genre,extraction_date
85,2025-02-03,WHIM WHAMIEE,4eULTkHVLAhn5J5DOSNbdP,79,141538,1,"PLUTO, YKNIECE",WHIM WHAMIEE,https://open.spotify.com/album/0cU7tn9mTCW4cDQWsxrbWO,https://open.spotify.com/track/4eULTkHVLAhn5J5DOSNbdP,Unknown,2025-05-27
86,2024-08-09,The Largest,1F5Qp0SJS0QUfqIoQggrLz,70,132266,1,BigXthaPlug,The Largest,https://open.spotify.com/album/1pJj4lszz7C87NmizpZ144,https://open.spotify.com/track/1F5Qp0SJS0QUfqIoQggrLz,southern hip hop,2025-05-27
87,2023-02-28,No Pole,0eaVIYo2zeOaGJeqZ5TwYz,90,187613,1,Don Toliver,Love Sick (Deluxe),https://open.spotify.com/album/2Q2TRdT994vTzGE3Grmmht,https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz,Unknown,2025-05-27
88,2025-03-28,Steve's Lava Chicken,2n5sAzeWh5LqnV9cGBjgGr,84,34400,7,Jack Black,A Minecraft Movie (Original Motion Picture Soundtrack),https://open.spotify.com/album/4KAwAiWDby2biJHljhMxWd,https://open.spotify.com/track/2n5sAzeWh5LqnV9cGBjgGr,Unknown,2025-05-27
89,2024-10-28,Like Him (feat. Lola Young),6jbYpRPTEFl1HFKHk1IC0m,91,278014,12,"Tyler, The Creator, Lola Young",CHROMAKOPIA,https://open.spotify.com/album/0U28P0QVB1QRxpqp5IHOlH,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,Unknown,2025-05-27
90,2025-02-14,Morena,4oB8Xd7gMlUEtWoD8bmCXW,92,193728,4,"Neton Vega, Peso Pluma",Mi Vida Mi Muerte,https://open.spotify.com/album/338NDGMHtB4t5mp8RhMnh3,https://open.spotify.com/track/4oB8Xd7gMlUEtWoD8bmCXW,corrido,2025-05-27
91,2023-11-03,Whiskey Drink,4ZIOtzgjSwq7oSkhWqapwa,65,190400,6,Jason Aldean,Highway Desperado,https://open.spotify.com/album/2SCppOPkT7XTKBJV2XIQUw,https://open.spotify.com/track/4ZIOtzgjSwq7oSkhWqapwa,country,2025-05-27
92,2025-02-14,DIE TRYING,0NUqi0ps17YpLUC3kgsZq0,87,195431,15,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR,https://open.spotify.com/track/0NUqi0ps17YpLUC3kgsZq0,dark r&b,2025-05-27
93,2025-04-04,End of the World,5SxahezRlC0saXbCALfB7c,86,250483,1,Miley Cyrus,End of the World,https://open.spotify.com/album/3ApGUtCbEwErvJ8AOs3kOW,https://open.spotify.com/track/5SxahezRlC0saXbCALfB7c,Unknown,2025-05-27
94,2024-04-05,Friends Like That (feat. Jason Aldean),3RL5e0b30F6Ly6Z0gvJlcF,65,186293,1,"John Morgan, Jason Aldean",Friends Like That (feat. Jason Aldean),https://open.spotify.com/album/3Pfcc6AxszeBvZyMzKlRCs,https://open.spotify.com/track/3RL5e0b30F6Ly6Z0gvJlcF,country,2025-05-27
95,2025-01-24,Haunted,0Gz45mObitRRxd5EtFkHuh,69,264800,8,"Kane Brown, Jelly Roll",The High Road,https://open.spotify.com/album/3UPTShNGcVewuV8nSxIMYY,https://open.spotify.com/track/0Gz45mObitRRxd5EtFkHuh,country,2025-05-27
96,2025-04-04,Caramel,3AdXwuFn7j21HNiFMXvZXt,83,290110,1,Sleep Token,Caramel,https://open.spotify.com/album/22QZTpIU424yzyhqXnFi3m,https://open.spotify.com/track/3AdXwuFn7j21HNiFMXvZXt,progressive metal,2025-05-27
97,2025-02-21,"3,2,1",2mxyToKuuc2JGhxBNlJzUh,73,158333,1,Tucker Wetmore,"3,2,1",https://open.spotify.com/album/5IPdGQ46nrjHlnBLpU5oGQ,https://open.spotify.com/track/2mxyToKuuc2JGhxBNlJzUh,country,2025-05-27
98,2024-11-15,Somethin’ ‘Bout A Woman (feat. Teddy Swims),1dHUB7GIbSk3MdL6a6KGvc,80,207794,1,"Thomas Rhett, Teddy Swims",Somethin’ ‘Bout A Woman (feat. Teddy Swims),https://open.spotify.com/album/2ijhcwHBggjxTuiZTjFPbe,https://open.spotify.com/track/1dHUB7GIbSk3MdL6a6KGvc,country,2025-05-27
99,2013-09-27,Ribs,2MvvoeRt8NcOXWESkxWn3g,88,258969,4,Lorde,Pure Heroine,https://open.spotify.com/album/0rmhjUgoVa17LZuS8xWQ3v,https://open.spotify.com/track/2MvvoeRt8NcOXWESkxWn3g,Unknown,2025-05-27
100,2025-02-14,GIMME A HUG,5Nz7hI3cCOHmMR4vSLJ1An,80,193054,10,Drake,$ome $exy $ongs 4 U,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR,https://open.spotify.com/track/5Nz7hI3cCOHmMR4vSLJ1An,rap,2025-05-27
